"nms873"	"n616_ad4_zscore"	"cons"
"ZINC000100001883  "	0.527403816	NA	NA
"ZINC000100001933"	NA	-0.002737502	NA
"ZINC000100001933  "	1.623428873	NA	NA
"ZINC000100001952"	NA	-0.354112229	NA
"ZINC000100001952  "	0.522780364	NA	NA
"ZINC000100001967  "	0.897798765	NA	NA
"ZINC000100002044"	NA	-0.154098923	NA
"ZINC000100002080"	NA	-0.586560125	NA
"ZINC000100002102  "	0.17676395	NA	NA
"ZINC000100003605"	NA	-1.127136628	NA
"ZINC000100003913"	NA	-0.51628518	NA
"ZINC000100004227"	NA	-0.218968103	NA
"ZINC000100004227  "	0.111546568	NA	NA
"ZINC000100004621  "	0.648212367	NA	NA
"ZINC000100004862"	NA	-0.700081191	NA
"ZINC000100007148"	NA	-1.413642174	NA
"ZINC000100007148  "	0.227369484	NA	NA
"ZINC000100011067"	NA	-0.478444824	NA
"ZINC000100011067  "	1.327861588	NA	NA
"ZINC000100014431"	NA	-0.381141054	NA
"ZINC000100014475  "	0.594877751	NA	NA
"ZINC000100014666  "	0.748566443	NA	NA
"ZINC000100014731"	NA	-0.597371655	NA
"ZINC000100014791"	NA	-0.240591163	NA
"ZINC000100014791  "	0.033054129	NA	NA
"ZINC000100014880"	NA	-1.078484743	NA
"ZINC000100014880  "	1.198694667	NA	NA
"ZINC000100014909"	NA	-0.694675426	NA
"ZINC000100014909  "	1.221368545	NA	NA
"ZINC000100015048"	NA	-1.381207584	NA
"ZINC000100015048  "	1.008813435	NA	NA
"ZINC000100015134"	NA	-1.332555699	NA
"ZINC000100015134  "	0.47444836	NA	NA
"ZINC000100015335"	NA	-0.748733076	NA
"ZINC000100015335  "	0.628651427	NA	NA
"ZINC000100015470  "	1.114480481	NA	NA
"ZINC000100015486"	NA	-0.532502475	NA
"ZINC000100015486  "	0.042200098	NA	NA
"ZINC000100016063"	NA	-0.883877202	NA
"ZINC000100016063  "	0.740281273	NA	NA
"ZINC000100018343"	NA	-0.748733076	NA
"ZINC000100018343  "	0.437949321	NA	NA
"ZINC000100018451"	NA	-0.273025753	NA
"ZINC000100018451  "	0.566450416	NA	NA
"ZINC000100018557"	NA	-0.024360562	NA
"ZINC000100018557  "	0.690096132	NA	NA
"ZINC000100030312"	NA	-0.045983622	NA
"ZINC000100030312  "	0.692137748	NA	NA
"ZINC000100033051  "	0.923321553	NA	NA
"ZINC000100033611"	NA	-0.489256355	NA
"ZINC000100033611  "	0.673858655	NA	NA
"ZINC000100036830"	NA	-0.170316218	NA
"ZINC000100036930"	NA	-0.52709671	NA
"ZINC000100036930  "	0.278713295	NA	NA
"ZINC000100037633"	NA	-0.700081191	NA
"ZINC000100037633  "	0.566450416	NA	NA
"ZINC000100037855"	NA	-1.094702038	NA
"ZINC000100037855  "	0.001830944	NA	NA
"ZINC000100041912"	NA	-0.775761901	NA
"ZINC000100041912  "	1.071060648	NA	NA
"ZINC000100042059"	NA	-0.51628518	NA
"ZINC000100042059  "	1.04025363	NA	NA
"ZINC000100042108  "	0.673858655	NA	NA
"ZINC000100042145"	NA	-1.321744169	NA
"ZINC000100042145  "	0.217365915	NA	NA
"ZINC000100042629  "	0.597992215	NA	NA
"ZINC000100051969"	NA	-0.883877202	NA
"ZINC000100051969  "	1.081050953	NA	NA
"ZINC000100053501"	NA	-1.100107803	NA
"ZINC000100053501  "	0.609249984	NA	NA
"ZINC000100057432"	NA	-0.256808458	NA
"ZINC000100057432  "	0.897798765	NA	NA
"ZINC000100060796"	NA	-0.402764114	NA
"ZINC000100066801"	NA	-0.65683507	NA
"ZINC000100069762"	NA	-0.683863896	NA
"ZINC000100069762  "	1.534186144	NA	NA
